DEPARTAMENTO,GRUPO_EDAD,RANGO_EDAD,SEXO,TOTAL_POSITIVOS,TOTAL_FALLECIDOS,COD
PUNO,ADULTO,30 a 59 años,FEMENINO,192,0,PUNO
PUNO,ADULTO,30 a 59 años,MASCULINO,145,2,PUNO
PUNO,ADULTO MAYOR,60 años a más,FEMENINO,36,3,PUNO
PUNO,ADULTO MAYOR,60 años a más,MASCULINO,20,4,PUNO
PUNO,JOVEN,18 a 29 años,FEMENINO,37,0,PUNO
PUNO,JOVEN,18 a 29 años,MASCULINO,33,0,PUNO
PUNO,NIÑO,0 a 11 años,FEMENINO,2,0,PUNO
PUNO,NIÑO,0 a 11 años,MASCULINO,4,0,PUNO
SAN MARTIN,ADOLESCENTE,12 a 17 años,FEMENINO,45,0,SANMA
SAN MARTIN,ADOLESCENTE,12 a 17 años,MASCULINO,36,0,SANMA
SAN MARTIN,ADULTO,30 a 59 años,FEMENINO,458,3,SANMA
SAN MARTIN,ADULTO,30 a 59 años,MASCULINO,519,9,SANMA
SAN MARTIN,ADULTO MAYOR,60 años a más,FEMENINO,93,7,SANMA
SAN MARTIN,ADULTO MAYOR,60 años a más,MASCULINO,128,19,SANMA
SAN MARTIN,JOVEN,18 a 29 años,FEMENINO,253,0,SANMA
SAN MARTIN,JOVEN,18 a 29 años,MASCULINO,289,0,SANMA
SAN MARTIN,NIÑO,0 a 11 años,FEMENINO,60,1,SANMA
SAN MARTIN,NIÑO,0 a 11 años,MASCULINO,71,1,SANMA
TACNA,ADOLESCENTE,12 a 17 años,FEMENINO,3,0,TACNA
TACNA,ADOLESCENTE,12 a 17 años,MASCULINO,7,0,TACNA
TACNA,ADULTO,30 a 59 años,FEMENINO,202,0,TACNA
TACNA,ADULTO,30 a 59 años,MASCULINO,155,3,TACNA
TACNA,ADULTO MAYOR,60 años a más,FEMENINO,24,0,TACNA
TACNA,ADULTO MAYOR,60 años a más,MASCULINO,40,2,TACNA
TACNA,JOVEN,18 a 29 años,FEMENINO,36,0,TACNA
TACNA,JOVEN,18 a 29 años,MASCULINO,49,0,TACNA
TACNA,NIÑO,0 a 11 años,FEMENINO,6,0,TACNA
TACNA,NIÑO,0 a 11 años,MASCULINO,13,0,TACNA
TUMBES,ADOLESCENTE,12 a 17 años,FEMENINO,22,0,TUMBE
TUMBES,ADOLESCENTE,12 a 17 años,MASCULINO,16,0,TUMBE
TUMBES,ADULTO,30 a 59 años,FEMENINO,405,8,TUMBE
TUMBES,ADULTO,30 a 59 años,MASCULINO,362,23,TUMBE
TUMBES,ADULTO MAYOR,60 años a más,FEMENINO,136,17,TUMBE
TUMBES,ADULTO MAYOR,60 años a más,MASCULINO,180,44,TUMBE
TUMBES,JOVEN,18 a 29 años,FEMENINO,93,0,TUMBE
TUMBES,JOVEN,18 a 29 años,MASCULINO,100,0,TUMBE
TUMBES,NIÑO,0 a 11 años,FEMENINO,35,1,TUMBE
TUMBES,NIÑO,0 a 11 años,MASCULINO,25,0,TUMBE
UCAYALI,ADOLESCENTE,12 a 17 años,FEMENINO,51,0,UCAYA
UCAYALI,ADOLESCENTE,12 a 17 años,MASCULINO,26,0,UCAYA
UCAYALI,ADULTO,30 a 59 años,FEMENINO,1545,7,UCAYA
UCAYALI,ADULTO,30 a 59 años,MASCULINO,1745,29,UCAYA
UCAYALI,ADULTO MAYOR,60 años a más,FEMENINO,347,16,UCAYA
UCAYALI,ADULTO MAYOR,60 años a más,MASCULINO,522,61,UCAYA
UCAYALI,JOVEN,18 a 29 años,FEMENINO,501,2,UCAYA
UCAYALI,JOVEN,18 a 29 años,MASCULINO,633,1,UCAYA
UCAYALI,NIÑO,0 a 11 años,FEMENINO,47,1,UCAYA
UCAYALI,NIÑO,0 a 11 años,MASCULINO,58,1,UCAYA
